id,provider,desc_tr,desc_en
c1,Miuul,"Veri Bilimi İçin Python Programlama, Feature Engineering, Machine Learning, HERDataCamp ve Data Scientist Mini Bootcamp eğitimleri.","Python Programming for Data Science, Feature Engineering, Machine Learning, HERDataCamp and Data Scientist Mini Bootcamp trainings."
c2,Dataquest.io,"Data Cleaning and Analysis, Advanced Data Cleaning ve Intermediate Python for Data Science kursları.","Data Cleaning and Analysis, Advanced Data Cleaning, and Intermediate Python for Data Science courses."
c3,Kodluyoruz,YGK — Veri Bilimi ve Yapay Zeka programı ve W-Code Programı.,"YGK — Data Science and AI program, and the W-Code Program."
c4,Techcareer.net,Kadınlara özel Data Science with Python Bootcamp.,"Data Science with Python Bootcamp, exclusively for women."
